iter	RMSE
0	16.09648005
1	15.94086993
2	15.78744709
3	15.6364673
4	15.4871055
5	15.3391184
6	15.19297301
7	15.04826337
8	14.90439949
9	14.76227873
10	14.6210667
11	14.48287437
12	14.3455157
13	14.20808318
14	14.07306016
15	13.93914619
16	13.80649101
17	13.67599527
18	13.54579371
19	13.41701043
20	13.28902474
21	13.16451853
22	13.04001802
23	12.91628476
24	12.79467806
25	12.67376347
26	12.55484652
27	12.43630454
28	12.31887003
29	12.20259847
30	12.08784497
31	11.97433228
32	11.86195754
33	11.75047819
34	11.64183359
35	11.53221673
36	11.42425105
37	11.31701214
38	11.21041689
39	11.10559852
40	11.00157973
41	10.89883675
42	10.79673408
43	10.69542602
44	10.5960251
45	10.4972774
46	10.40032115
47	10.30371016
48	10.20906429
49	10.11430685
50	10.02114591
51	9.92840665
52	9.835591732
53	9.745376686
54	9.656323279
55	9.566396014
56	9.479820654
57	9.39351773
58	9.306579416
59	9.222160438
60	9.137843734
61	9.053178881
62	8.971026486
63	8.888984179
64	8.808740723
65	8.728803719
66	8.648514609
67	8.570149685
68	8.491900962
69	8.415434102
70	8.340457845
71	8.265621995
72	8.191813664
73	8.118723599
74	8.046710818
75	7.975328259
76	7.904054588
77	7.834568315
78	7.765630527
79	7.695775407
80	7.62769195
81	7.560469972
82	7.492679153
83	7.427221415
84	7.360870837
85	7.296642026
86	7.233290042
87	7.169430913
88	7.107495042
89	7.045967364
90	6.985136518
91	6.923598196
92	6.864790703
93	6.805694903
94	6.747020593
95	6.688759991
96	6.630149682
97	6.572927908
98	6.516367402
99	6.460520659
100	6.406865718
101	6.352931154
102	6.298370314
103	6.245055217
104	6.191615985
105	6.139919457
106	6.088248877
107	6.036616131
108	5.986977728
109	5.93655329
110	5.888345297
111	5.840402589
112	5.792984356
113	5.744303713
114	5.697272294
115	5.650518536
116	5.604171259
117	5.558146861
118	5.512390761
119	5.467679257
120	5.42294751
121	5.37926096
122	5.336304781
123	5.293075721
124	5.250679985
125	5.20910955
126	5.168189359
127	5.127316491
128	5.086548057
129	5.0466251
130	5.006670533
131	4.967959047
132	4.929526049
133	4.890432521
134	4.852263328
135	4.814557302
136	4.77740307
137	4.740584161
138	4.704538302
139	4.669760527
140	4.634646943
141	4.600294441
142	4.565598853
143	4.531670725
144	4.499157197
145	4.466154836
146	4.432444754
147	4.400028726
148	4.368529536
149	4.33643995
150	4.305859614
151	4.274657323
152	4.244370606
153	4.214166175
154	4.184716501
155	4.155368064
156	4.126165466
157	4.096989997
158	4.06883514
159	4.040686999
160	4.013644249
161	3.987610311
162	3.960694634
163	3.934160673
164	3.907709965
165	3.881149061
166	3.856656775
167	3.831636775
168	3.806724399
169	3.781498762
170	3.756600427
171	3.732566453
172	3.70911759
173	3.685213314
174	3.662138264
175	3.639325818
176	3.616539259
177	3.594383633
178	3.572498789
179	3.550288251
180	3.529444698
181	3.507745643
182	3.486330574
183	3.465607646
184	3.44488947
185	3.424861276
186	3.405344762
187	3.38593451
188	3.366373414
189	3.346943436
190	3.328100982
191	3.30927885
192	3.29063245
193	3.272699588
194	3.254486136
195	3.236977226
196	3.219522473
197	3.203383858
198	3.186294832
199	3.169131288
200	3.152788227
201	3.136087238
202	3.120494041
203	3.104816785
204	3.088915632
205	3.073434337
206	3.058196907
207	3.043388249
208	3.028816826
209	3.014172738
210	3.000192994
211	2.985949324
212	2.972316408
213	2.958647063
214	2.945500289
215	2.931892085
216	2.918524083
217	2.905698531
218	2.892914074
219	2.880318003
220	2.867697238
221	2.855399411
222	2.843560608
223	2.83170283
224	2.819867956
225	2.808147514
226	2.796581695
227	2.785518567
228	2.774526795
229	2.763267907
230	2.75241083
231	2.742069415
232	2.73149441
233	2.720967197
234	2.711086971
235	2.700948438
236	2.691521858
237	2.68168561
238	2.672500324
239	2.662868309
240	2.653869043
241	2.64429638
242	2.6353254
243	2.626744705
244	2.618155859
245	2.609632986
246	2.600960478
247	2.592331091
248	2.584250218
249	2.576201284
250	2.568481973
251	2.561062565
252	2.553207986
253	2.545999103
254	2.538727847
255	2.531661812
256	2.524146154
257	2.51759725
258	2.510386612
259	2.503192274
260	2.4966829
261	2.490177558
262	2.483801865
263	2.477466449
264	2.470819563
265	2.464672926
266	2.458248203
267	2.451878455
268	2.446544172
269	2.440549996
270	2.434859874
271	2.428850669
272	2.42293841
273	2.417145248
274	2.411504145
275	2.404666275
276	2.399147975
277	2.394373369
278	2.389237625
279	2.38416486
280	2.379563159
281	2.374949418
282	2.3685038
283	2.361867021
284	2.357007204
285	2.352559738
286	2.348209214
287	2.343793812
288	2.339211099
289	2.335040523
290	2.330763483
291	2.326356191
292	2.322643194
293	2.318647342
294	2.315210722
295	2.311461454
296	2.307638311
297	2.303566533
298	2.299503029
299	2.295532611
300	2.291684004
301	2.287824517
302	2.284389255
303	2.280644744
304	2.27751055
305	2.274334901
306	2.271260899
307	2.268312577
308	2.26515473
309	2.261982083
310	2.258816649
311	2.255839696
312	2.252843921
313	2.250098888
314	2.247281055
315	2.24418804
316	2.241162865
317	2.23792012
318	2.234615225
319	2.2316537
320	2.228773449
321	2.226383566
322	2.222827627
323	2.22043139
324	2.218119028
325	2.215610333
326	2.213353497
327	2.210085262
328	2.207915238
329	2.205829023
330	2.203238149
331	2.201172092
332	2.198781134
333	2.195962479
334	2.19374839
335	2.190852697
336	2.188800738
337	2.186535842
338	2.184123991
339	2.181873339
340	2.179709604
341	2.177658372
342	2.175867415
343	2.174218032
344	2.172251017
345	2.170364014
346	2.168650268
347	2.166310777
348	2.164535289
349	2.162743744
350	2.161024234
351	2.159345171
352	2.157608136
353	2.155724278
354	2.15391635
355	2.15220758
356	2.150560998
357	2.148845034
358	2.147572815
359	2.146040255
360	2.142006834
361	2.13937409
362	2.137961926
363	2.136116577
364	2.133036746
365	2.131581419
366	2.129965192
367	2.128795276
368	2.124608602
369	2.122842104
370	2.121441246
371	2.120119143
372	2.119055066
373	2.117900914
374	2.116678761
375	2.115083056
376	2.113915686
377	2.112526804
378	2.111417917
379	2.110006724
380	2.108848998
381	2.107892851
382	2.106453133
383	2.105415215
384	2.104451067
385	2.10246903
386	2.101172374
387	2.10016035
388	2.098903631
389	2.097727331
390	2.095528828
391	2.094639728
392	2.093795592
393	2.092859853
394	2.091981502
395	2.09101176
396	2.089864069
397	2.088997909
398	2.087871954
399	2.087079762
400	2.08617325
401	2.085411354
402	2.084734982
403	2.084010229
404	2.083197604
405	2.082444787
406	2.081303115
407	2.080459846
408	2.078993725
409	2.077943223
410	2.07720691
411	2.075186498
412	2.074375019
413	2.073789247
414	2.072973486
415	2.072114824
416	2.071037776
417	2.07017503
418	2.068520725
419	2.067858265
420	2.066519443
421	2.065365981
422	2.064600768
423	2.063360977
424	2.062183731
425	2.059450317
426	2.058908539
427	2.057983108
428	2.057395981
429	2.056803013
430	2.055927508
431	2.055108236
432	2.054411857
433	2.053820857
434	2.052865256
435	2.052381465
436	2.050321808
437	2.049466381
438	2.048188931
439	2.047583437
440	2.047013857
441	2.04655404
442	2.045999405
443	2.045506314
444	2.044826765
445	2.043912052
446	2.043361229
447	2.042957381
448	2.042548598
449	2.04211659
450	2.041341158
451	2.040453172
452	2.039987103
453	2.037343535
454	2.03599923
455	2.035608544
456	2.034329335
457	2.033558601
458	2.032796458
459	2.032257094
460	2.031683412
461	2.030804875
462	2.030376364
463	2.028177972
464	2.027638495
465	2.026736357
466	2.026285622
467	2.024811612
468	2.024296536
469	2.023913308
470	2.023544267
471	2.02287872
472	2.022580416
473	2.020115343
474	2.019824011
475	2.01929807
476	2.016874587
477	2.016239313
478	2.015844961
479	2.015030857
480	2.014676491
481	2.014325859
482	2.013994655
483	2.01296147
484	2.012549168
485	2.012011013
486	2.011773723
487	2.009619904
488	2.00930777
489	2.008938784
490	2.007780827
491	2.007464394
492	2.007014557
493	2.00637977
494	2.004382752
495	2.001631777
496	2.001290297
497	1.998856825
498	1.998271629
499	1.997031871
500	1.996547997
501	1.996230686
502	1.995721743
503	1.995585664
504	1.994703263
505	1.994492137
506	1.993823644
507	1.992367737
508	1.991851768
509	1.991429726
510	1.99078174
511	1.990422803
512	1.989967253
513	1.989131827
514	1.988576483
515	1.988188336
516	1.986816764
517	1.985597208
518	1.985195047
519	1.984737192
520	1.984496121
521	1.982124343
522	1.981732358
523	1.980941958
524	1.978452851
525	1.977647267
526	1.976879694
527	1.976655775
528	1.9763605
529	1.975994718
530	1.975545465
531	1.975037247
532	1.97242654
533	1.971729951
534	1.970692336
535	1.970172788
536	1.969834271
537	1.968975764
538	1.9677961
539	1.966355975
540	1.965921792
541	1.965281075
542	1.964780408
543	1.963618471
544	1.962922758
545	1.962610593
546	1.9623864
547	1.961421222
548	1.961081531
549	1.960622546
550	1.958571106
551	1.957341232
552	1.95696968
553	1.956747836
554	1.956578748
555	1.954415009
556	1.953967125
557	1.953594899
558	1.953110799
559	1.95241217
560	1.951726169
561	1.951582816
562	1.951246981
563	1.951046435
564	1.950251661
565	1.950148594
566	1.949701672
567	1.949188753
568	1.948821832
569	1.948659312
570	1.948441715
571	1.948174217
572	1.947682693
573	1.947268256
574	1.947046293
575	1.946578972
576	1.946121003
577	1.945341403
578	1.945188641
579	1.944962867
580	1.944660056
581	1.944156928
582	1.943838605
583	1.943204515
584	1.941239349
585	1.940879646
586	1.939952066
587	1.939766761
588	1.939607999
589	1.938895806
590	1.937808443
591	1.937729692
592	1.937456836
593	1.936454098
594	1.936070328
595	1.93558574
596	1.933462416
597	1.93295602
598	1.932417939
599	1.932085556
600	1.931252911
601	1.931086061
602	1.930945779
603	1.930325632
604	1.930130951
605	1.929520974
606	1.929071113
607	1.928779293
608	1.928511538
609	1.928376448
610	1.928227897
611	1.927947504
612	1.927656681
613	1.926577711
614	1.926284634
615	1.925777954
616	1.925517557
617	1.924842665
618	1.924644347
619	1.92422693
620	1.92404261
621	1.922202297
622	1.92007476
623	1.919146217
624	1.917130781
625	1.916968181
626	1.91474572
627	1.914532096
628	1.914187119
629	1.914061727
630	1.913545905
631	1.913034669
632	1.912767062
633	1.912425182
634	1.911794811
635	1.911301455
636	1.910811428
637	1.91037356
638	1.909620512
639	1.908967114
640	1.906942283
641	1.906587495
642	1.906433389
643	1.905853598
644	1.905721236
645	1.903735562
646	1.903345747
647	1.903077479
648	1.902670992
649	1.901965257
650	1.901851777
651	1.90166089
652	1.900813579
653	1.900573066
654	1.900250463
655	1.898405416
656	1.897753731
657	1.897616777
658	1.897540996
659	1.897399418
660	1.897302993
661	1.896863394
662	1.896451353
663	1.896251885
664	1.896059161
665	1.895692271
666	1.893645509
667	1.893252276
668	1.893146644
669	1.892992871
670	1.892343164
671	1.892244967
672	1.891404835
673	1.891039147
674	1.890734096
675	1.890207928
676	1.890044189
677	1.889339075
678	1.889086972
679	1.888485498
680	1.888350365
681	1.888111391
682	1.887494723
683	1.886558718
684	1.886281567
685	1.886066316
686	1.884195353
687	1.883462447
688	1.88265523
689	1.882494306
690	1.881694798
691	1.881310443
692	1.881110646
693	1.88072348
694	1.88006809
695	1.879644559
696	1.878445777
697	1.87795228
698	1.877217081
699	1.876887156
700	1.876799011
701	1.876061628
702	1.875910129
703	1.874821076
704	1.87444996
705	1.874116281
706	1.873879262
707	1.873619243
708	1.873098956
709	1.87238152
710	1.871978342
711	1.871593531
712	1.871218185
713	1.870774628
714	1.868812624
715	1.867735794
716	1.86710891
717	1.866666883
718	1.866260619
719	1.86603859
720	1.865745454
721	1.864649425
722	1.864181734
723	1.862598587
724	1.860885191
725	1.860534973
726	1.860318484
727	1.860117117
728	1.859641372
729	1.859508038
730	1.859103111
731	1.858536026
732	1.858101181
733	1.856868757
734	1.85558917
735	1.855273238
736	1.854539146
737	1.854392595
738	1.853809237
739	1.852348192
740	1.852001746
741	1.851852752
742	1.851264327
743	1.850474883
744	1.850191277
745	1.849755461
746	1.849552072
747	1.847646222
748	1.847538159
749	1.846631151
750	1.846420055
751	1.846035083
752	1.845268419
753	1.845056416
754	1.844899786
755	1.844293826
756	1.843601254
757	1.843325313
758	1.84270514
759	1.842593129
760	1.842055378
761	1.841742037
762	1.841286486
763	1.84115551
764	1.840773771
765	1.840195272
766	1.840119435
767	1.839901618
768	1.839109402
769	1.838880037
770	1.838616648
771	1.838018968
772	1.836237611
773	1.835943136
774	1.835256652
775	1.833574606
776	1.833348158
777	1.833237978
778	1.831716918
779	1.831437135
780	1.83097492
781	1.830596954
782	1.83030148
783	1.829623994
784	1.829072799
785	1.828540415
786	1.82789878
787	1.827697298
788	1.827498583
789	1.827048857
790	1.826243322
791	1.825776708
792	1.825533784
793	1.825084031
794	1.824758713
795	1.824611277
796	1.823047972
797	1.822507767
798	1.821111327
799	1.820652643
800	1.82041022
801	1.819840961
802	1.819724485
803	1.818584778
804	1.817933386
805	1.816596054
806	1.8161611
807	1.815922271
808	1.815889695
809	1.815352926
810	1.814913188
811	1.814639917
812	1.812983889
813	1.812560991
814	1.812151683
815	1.811771549
816	1.811485725
817	1.809770272
818	1.80831951
819	1.807935495
820	1.807381806
821	1.805955374
822	1.805614843
823	1.803894977
824	1.803396295
825	1.803185638
826	1.802642397
827	1.802350394
828	1.801279807
829	1.800697873
830	1.799225942
831	1.798807404
832	1.798381335
833	1.797638888
834	1.797391574
835	1.796000636
836	1.795869498
837	1.794584617
838	1.793351673
839	1.793307439
840	1.79258104
841	1.791427882
842	1.790044359
843	1.789717017
844	1.788511508
845	1.787253782
846	1.786721243
847	1.785361153
848	1.784703911
849	1.784515232
850	1.783330818
851	1.781955389
852	1.780620129
853	1.780116912
854	1.779724151
855	1.779451625
856	1.778985527
857	1.778063384
858	1.777552419
859	1.77734697
860	1.777050851
861	1.776574575
862	1.776406524
863	1.776071882
864	1.775311883
865	1.774013667
866	1.773530323
867	1.772272373
868	1.771034406
869	1.769737555
870	1.768881731
871	1.767623542
872	1.767126343
873	1.766674128
874	1.765529108
875	1.765282087
876	1.765063927
877	1.763898459
878	1.763290258
879	1.76249639
880	1.76230966
881	1.761929449
882	1.761332225
883	1.760897791
884	1.760467463
885	1.759405358
886	1.758274436
887	1.757095881
888	1.756470008
889	1.75608956
890	1.755570793
891	1.75534369
892	1.754086494
893	1.753005182
894	1.752986579
895	1.751929651
896	1.751169472
897	1.750754644
898	1.749665315
899	1.749271296
900	1.7487151
901	1.748357715
902	1.747949373
903	1.747273361
904	1.745986858
905	1.745301485
906	1.744973246
907	1.744842004
908	1.743847536
909	1.743304819
910	1.742959096
911	1.742513841
912	1.742184715
913	1.741082643
914	1.740536687
915	1.739461418
916	1.738426997
917	1.738411827
918	1.737572234
919	1.736614647
920	1.735691136
921	1.735167077
922	1.734330307
923	1.733995811
924	1.733565394
925	1.732961023
926	1.732626279
927	1.732301016
928	1.731341679
929	1.73100877
930	1.729980049
931	1.729067781
932	1.728694133
933	1.728216371
934	1.727323642
935	1.726449844
936	1.725970466
937	1.725531418
938	1.725220653
939	1.724856638
940	1.724437142
941	1.723390339
942	1.722572427
943	1.721994575
944	1.721755444
945	1.721153619
946	1.720627142
947	1.719838977
948	1.719577038
949	1.719380762
950	1.718822425
951	1.718286856
952	1.718032416
953	1.717837868
954	1.717455401
955	1.717241691
956	1.716957006
957	1.716048941
958	1.715592651
959	1.714515213
960	1.713710401
961	1.713049496
962	1.712264569
963	1.71191835
964	1.711382521
965	1.711370381
966	1.711063274
967	1.710839716
968	1.710538348
969	1.710300992
970	1.710065566
971	1.709487351
972	1.708886646
973	1.70805306
974	1.707775109
975	1.707754286
976	1.706944257
977	1.705984946
978	1.705296252
979	1.704799186
980	1.704006193
981	1.703440384
982	1.702650131
983	1.701823269
984	1.70110612
985	1.700821853
986	1.700385273
987	1.699840358
988	1.699829582
989	1.699420391
990	1.698637549
991	1.697890564
992	1.697349029
993	1.696383717
994	1.696226818
995	1.695812264
996	1.695525491
997	1.69507191
998	1.69456074
999	1.69454699
1000	1.694001564
1001	1.693430828
1002	1.692553914
1003	1.691845574
1004	1.691835098
1005	1.69133746
1006	1.690862012
1007	1.690225276
1008	1.690048652
1009	1.689804014
1010	1.689304229
1011	1.689084912
1012	1.6887477
1013	1.688590438
1014	1.688412861
1015	1.68822378
1016	1.688041911
1017	1.687791636
1018	1.687341618
1019	1.686477868
1020	1.686252746
1021	1.685844792
1022	1.685342846
1023	1.684785853
1024	1.684143435
1025	1.68342354
1026	1.683155791
1027	1.682873673
1028	1.682122316
1029	1.681519051
1030	1.681387278
1031	1.681376926
1032	1.680464044
1033	1.680267011
1034	1.679636976
1035	1.679428609
1036	1.678767681
1037	1.678754776
1038	1.678297486
1039	1.67811864
1040	1.677952404
1041	1.677562716
1042	1.677129505
1043	1.676399146
1044	1.676386049
1045	1.676128046
1046	1.676115262
1047	1.675641595
1048	1.675260384
1049	1.674693723
1050	1.674426897
1051	1.673989192
1052	1.673635632
1053	1.672942692
1054	1.672580792
1055	1.672195363
1056	1.671791329
1057	1.671112261
1058	1.671101535
1059	1.670965006
1060	1.670613414
1061	1.670021179
1062	1.669763217
1063	1.669182613
1064	1.668877692
1065	1.668658825
1066	1.668068799
1067	1.667902547
1068	1.667254909
1069	1.666610824
1070	1.665976084
1071	1.665056298
1072	1.664923281
1073	1.664469867
1074	1.664334693
1075	1.663828514
1076	1.663345435
1077	1.66268395
1078	1.662520677
1079	1.661837692
1080	1.661663371
1081	1.661025418
1082	1.660829121
1083	1.660497485
1084	1.659861982
1085	1.65922027
1086	1.658618632
1087	1.658468331
1088	1.657922808
1089	1.657431203
1090	1.657123396
1091	1.65668558
1092	1.656122581
1093	1.655413086
1094	1.655137149
1095	1.654586488
1096	1.654384313
1097	1.653962734
1098	1.653884762
1099	1.653242878
1100	1.652949926
1101	1.652590264
1102	1.652274948
1103	1.652047092
1104	1.652035034
1105	1.651339942
1106	1.650895695
1107	1.65071441
1108	1.650478559
1109	1.650204867
1110	1.650010386
1111	1.649431804
1112	1.648864209
1113	1.648391334
1114	1.647862838
1115	1.64769225
1116	1.647257701
1117	1.646659065
1118	1.646246569
1119	1.645903213
1120	1.645318279
1121	1.644891426
1122	1.644467808
1123	1.643885564
1124	1.64345283
1125	1.643280047
1126	1.642740158
1127	1.642505656
1128	1.642080552
1129	1.641689272
1130	1.641679632
1131	1.641315636
1132	1.64064636
1133	1.640056431
1134	1.639856503
1135	1.639690754
1136	1.63924495
1137	1.638757864
1138	1.638399508
1139	1.6377868
1140	1.637413542
1141	1.637267805
1142	1.63683261
1143	1.636718397
1144	1.636354757
1145	1.635968008
1146	1.635331679
1147	1.634986275
1148	1.634499071
1149	1.634053939
1150	1.63387963
1151	1.63339777
1152	1.632850778
1153	1.63255016
1154	1.632522919
1155	1.632083916
1156	1.631912009
1157	1.631770341
1158	1.63175398
1159	1.631294648
1160	1.631233585
1161	1.630789285
1162	1.630091515
1163	1.62953907
1164	1.629294003
1165	1.629122173
1166	1.6288917
1167	1.628623797
1168	1.628110088
1169	1.627993517
1170	1.627563382
1171	1.627128569
1172	1.62695388
1173	1.626519896
1174	1.626514016
1175	1.626507426
1176	1.626367166
1177	1.626041014
1178	1.625718172
1179	1.625666394
1180	1.625133256
1181	1.625003431
1182	1.62496575
1183	1.624352845
1184	1.62391879
1185	1.623741649
1186	1.623267245
1187	1.622961787
1188	1.622850815
1189	1.622704336
1190	1.622260674
1191	1.622135501
1192	1.621784486
1193	1.621505816
1194	1.621497354
1195	1.621314206
1196	1.621184737
1197	1.620729416
1198	1.620456336
1199	1.620413103
1200	1.620007806
1201	1.620002199
1202	1.619574952
1203	1.619566965
1204	1.619107545
1205	1.618556604
1206	1.618549063
1207	1.617977483
1208	1.617969933
1209	1.617410077
1210	1.617276445
1211	1.617268501
1212	1.616847986
1213	1.616329526
1214	1.615894216
1215	1.615569642
1216	1.615249692
1217	1.615129603
1218	1.614803276
1219	1.614427078
1220	1.61401361
1221	1.614006396
1222	1.613598496
1223	1.613234682
1224	1.613135852
1225	1.612909164
1226	1.612750681
1227	1.612576171
1228	1.612562026
1229	1.6124647
1230	1.61208306
1231	1.611859831
1232	1.61173853
1233	1.611568808
1234	1.610954887
1235	1.610773118
1236	1.610458687
1237	1.609890387
1238	1.60940178
1239	1.609025898
1240	1.608707483
1241	1.608316618
1242	1.607825033
1243	1.607675133
1244	1.607401169
1245	1.607387637
1246	1.607103964
1247	1.606819512
1248	1.6065484
1249	1.606541148
1250	1.606197199
1251	1.606125706
1252	1.605693861
1253	1.605680773
1254	1.605558546
1255	1.605551441
1256	1.605466605
1257	1.60518286
1258	1.605124849
1259	1.605010513
1260	1.605003458
1261	1.604889194
1262	1.604705974
1263	1.604356774
1264	1.60379517
1265	1.603438744
1266	1.603134045
1267	1.602813561
1268	1.602472961
1269	1.602351647
1270	1.601870039
1271	1.601502104
1272	1.60135696
1273	1.601190018
1274	1.600998962
1275	1.600889827
1276	1.600800366
1277	1.600457878
1278	1.600101994
1279	1.599378432
1280	1.598860499
1281	1.598749951
1282	1.598258002
1283	1.598041887
1284	1.597665855
1285	1.597386477
1286	1.596997795
1287	1.596647196
1288	1.596306519
1289	1.596302404
1290	1.595990155
1291	1.595603584
1292	1.59548322
1293	1.595478517
1294	1.595394557
1295	1.595245318
1296	1.594931985
1297	1.594547221
1298	1.594197983
1299	1.593844046
1300	1.593363072
1301	1.593090399
1302	1.592873891
1303	1.592498004
1304	1.592413778
1305	1.592305546
1306	1.592137553
1307	1.592102051
1308	1.592095174
1309	1.591567927
1310	1.591074108
1311	1.590704863
1312	1.590374232
1313	1.590285641
1314	1.589959291
1315	1.589898568
1316	1.589554389
1317	1.589201109
1318	1.589140912
1319	1.588907205
1320	1.588701347
1321	1.588606403
1322	1.588228954
1323	1.588222643
1324	1.587983058
1325	1.587534759
1326	1.587530211
1327	1.587114262
1328	1.58706078
1329	1.586774169
1330	1.586721013
1331	1.586515191
1332	1.586218524
1333	1.585969692
1334	1.585941515
1335	1.585607165
1336	1.584778117
1337	1.584655322
1338	1.584650614
1339	1.584281063
1340	1.58423718
1341	1.584126702
1342	1.583783626
1343	1.583326336
1344	1.583197464
1345	1.583192884
1346	1.583187283
1347	1.582775287
1348	1.582769527
1349	1.582689713
1350	1.582517793
1351	1.582459476
1352	1.582454025
1353	1.582426522
1354	1.582117838
1355	1.581859256
1356	1.581751182
1357	1.581495891
1358	1.581490726
1359	1.581263448
1360	1.580972927
1361	1.58091557
1362	1.580515737
1363	1.580120708
1364	1.579719504
1365	1.579483233
1366	1.579406434
1367	1.579095742
1368	1.57902499
1369	1.579019568
1370	1.579008266
1371	1.578926083
1372	1.578795395
1373	1.57852533
1374	1.578437964
1375	1.578095223
1376	1.578010753
1377	1.577743202
1378	1.577522447
1379	1.577158774
1380	1.576685635
1381	1.576426266
1382	1.576188673
1383	1.575985342
1384	1.575683742
1385	1.575548542
1386	1.575355596
1387	1.574975193
1388	1.574755702
