iter	Passed	Remaining
0	36	365660
1	73	368126
2	112	374158
3	150	376193
4	188	376747
5	229	381733
6	269	384545
7	307	383665
8	344	382664
9	386	385619
10	423	384491
11	461	383721
12	499	383938
13	537	383198
14	576	383437
15	613	382558
16	652	383192
17	687	381487
18	726	381785
19	764	381413
20	802	381468
21	842	382077
22	879	381548
23	918	381891
24	955	381393
25	995	381786
26	1032	381366
27	1068	380476
28	1110	381798
29	1141	379202
30	1178	378996
31	1214	378424
32	1250	377716
33	1286	377096
34	1325	377469
35	1361	376781
36	1391	374611
37	1422	372840
38	1460	372989
39	1498	373025
40	1535	372856
41	1572	372792
42	1610	373031
43	1646	372558
44	1682	372140
45	1719	372064
46	1758	372486
47	1797	372784
48	1838	373322
49	1877	373658
50	1915	373768
51	1953	373760
52	1992	373861
53	2028	373604
54	2065	373477
55	2101	373184
56	2138	372997
57	2175	372923
58	2213	372989
59	2251	373036
60	2288	372921
61	2328	373240
62	2366	373276
63	2403	373219
64	2454	375231
65	2500	376376
66	2540	376660
67	2581	377057
68	2622	377521
69	2661	377565
70	2705	378322
71	2745	378564
72	2785	378789
73	2825	379000
74	2864	379090
75	2904	379219
76	2943	379373
77	2985	379729
78	3024	379795
79	3066	380299
80	3089	378372
81	3127	378317
82	3170	378758
83	3212	379200
84	3248	378906
85	3288	379142
86	3324	378822
87	3363	378892
88	3398	378415
89	3435	378311
90	3472	378077
91	3510	378039
92	3548	377969
93	3584	377750
94	3624	377874
95	3663	377919
96	3705	378353
97	3746	378555
98	3807	380744
99	3848	381026
100	3893	381590
101	3932	381610
102	3972	381745
103	4011	381752
104	4058	382422
105	4104	383092
106	4144	383165
107	4181	382990
108	4221	383108
109	4267	383668
110	4324	385244
111	4363	385218
112	4401	385149
113	4442	385209
114	4480	385108
115	4517	384919
116	4556	384878
117	4595	384873
118	4634	384780
119	4672	384693
120	4710	384579
121	4747	384426
122	4784	384170
123	4821	383997
124	4858	383787
125	4895	383600
126	4932	383481
127	4969	383297
128	5008	383264
129	5046	383141
130	5084	383009
131	5120	382833
132	5158	382716
133	5194	382457
134	5232	382391
135	5272	382392
136	5308	382158
137	5346	382051
138	5386	382135
139	5423	381968
140	5461	381849
141	5499	381755
142	5535	381548
143	5573	381452
144	5612	381430
145	5650	381397
146	5691	381460
147	5727	381245
148	5763	381047
149	5799	380801
150	5833	380497
151	5872	380478
152	5912	380546
153	5948	380347
154	5987	380306
155	6025	380214
156	6063	380156
157	6099	379929
158	6136	379790
159	6171	379567
160	6211	379571
161	6247	379419
162	6283	379236
163	6322	379206
164	6359	379068
165	6399	379098
166	6435	378913
167	6474	378902
168	6511	378765
169	6545	378477
170	6582	378357
171	6618	378185
172	6655	378060
173	6691	377852
174	6726	377657
175	6762	377488
176	6801	377469
177	6839	377396
178	6878	377403
179	6917	377368
180	6953	377226
181	6989	377051
182	7029	377086
183	7067	377053
184	7105	376949
185	7143	376912
186	7180	376812
187	7216	376642
188	7254	376584
189	7292	376528
190	7330	376465
191	7368	376416
192	7407	376390
193	7442	376208
194	7478	376053
195	7518	376093
196	7552	375841
197	7589	375731
198	7627	375675
199	7666	375634
200	7704	375609
201	7745	375677
202	7784	375689
203	7823	375668
204	7864	375776
205	7907	375949
206	7945	375876
207	7985	375924
208	8023	375864
209	8064	375941
210	8099	375771
211	8138	375764
212	8176	375674
213	8215	375671
214	8254	375656
215	8294	375689
216	8330	375547
217	8368	375491
218	8407	375490
219	8445	375448
220	8485	375456
221	8521	375351
222	8560	375302
223	8595	375122
224	8633	375082
225	8676	375256
226	8715	375225
227	8752	375134
228	8789	375037
229	8828	375008
230	8865	374930
231	8903	374857
232	8949	375140
233	9000	375641
234	9037	375535
235	9077	375558
236	9114	375469
237	9155	375545
238	9194	375502
239	9234	375543
240	9272	375484
241	9308	375341
242	9347	375314
243	9385	375278
244	9420	375100
245	9457	375013
246	9495	374938
247	9533	374900
248	9571	374819
249	9610	374826
250	9647	374708
251	9683	374598
252	9724	374625
253	9764	374665
254	9800	374538
255	9838	374463
256	9876	374406
257	9911	374272
258	9949	374212
259	9987	374157
260	10025	374095
261	10064	374077
262	10101	373993
263	10138	373906
264	10178	373899
265	10215	373831
266	10252	373720
267	10291	373734
268	10328	373635
269	10365	373557
270	10401	373434
271	10436	373264
272	10471	373112
273	10510	373081
274	10545	372940
275	10582	372858
276	10621	372821
277	10659	372782
278	10697	372723
279	10732	372586
280	10772	372594
281	10808	372474
282	10847	372449
283	10885	372413
284	10924	372407
285	10964	372414
286	11004	372420
287	11041	372349
288	11079	372293
289	11117	372236
290	11155	372193
291	11195	372219
292	11231	372107
293	11270	372095
294	11306	371973
295	11344	371921
296	11383	371909
297	11423	371909
298	11461	371872
299	11502	371902
300	11540	371859
301	11582	371938
302	11617	371807
303	11656	371769
304	11693	371694
305	11730	371612
306	11766	371502
307	11803	371422
308	11842	371413
309	11879	371342
310	11916	371253
311	11955	371229
312	11994	371223
313	12031	371146
314	12066	371006
315	12104	370947
316	12140	370852
317	12175	370714
318	12212	370612
319	12249	370554
320	12287	370515
321	12327	370512
322	12365	370469
323	12402	370386
324	12442	370392
325	12480	370361
326	12521	370391
327	12560	370373
328	12598	370328
329	12635	370261
330	12673	370216
331	12710	370135
332	12747	370071
333	12783	369950
334	12818	369819
335	12857	369797
336	12893	369714
337	12930	369628
338	12968	369584
339	13009	369617
340	13049	369639
341	13088	369611
342	13126	369578
343	13163	369505
344	13202	369487
345	13240	369431
346	13277	369353
347	13314	369283
348	13353	369275
349	13391	369212
350	13429	369182
351	13470	369202
352	13517	369421
353	13557	369413
354	13596	369396
355	13631	369277
356	13667	369166
357	13703	369072
358	13727	368665
359	13766	368641
360	13804	368585
361	13840	368484
362	13876	368406
363	13913	368330
364	13950	368255
365	13987	368181
366	14025	368134
367	14061	368035
368	14099	367993
369	14134	367875
370	14170	367790
371	14207	367714
372	14244	367646
373	14283	367621
374	14319	367541
375	14356	367465
376	14394	367412
377	14432	367370
378	14468	367293
379	14496	366996
380	14529	366829
381	14568	366799
382	14607	366776
383	14644	366714
384	14681	366656
