title,budget,imdb_id,original_language,original_title,overview,release_date,runtime,tagline,revenue
Gimme Shelter,0,tt0065780,en,Gimme Shelter,"This documentary of the Rolling Stones' 1969 US tour has become a legendary, harrowing symbol of the tragic demise of the ""Peace and Love"" era. After a successful tour across the US, the Rolling Stones gave a free December concert at Altamont Speedway in California with the Grateful Dead, Ike and Tina Turner, Jefferson Airplane, and the Flying Burrito Brothers. The band unwisely selected the Hells Angels to provide security, and the bikers resorted to violence to keep the stoned, restless, and often naked crowd in line. The result: dozens of injuries and the on-screen stabbing of a young black man (during ""Sympathy for the Devil"") by one of the concert's staff security. In a manipulative but effective move, the Maysles brothers filmed Mick Jagger in the editing room witnessing the on-camera murder for the first time. The film also works as a rock-and-roll document, capturing the band at their most relaxed, intoxicating, and electrifying.",06/12/1970,91.0,"Landmark film follows the Rolling Stones on their notorious 1969 U.S. tour, culminating in tragedy at San Francisco's Altamont Speedway.",252570
The War of the Roses,0,tt0098621,en,The War of the Roses,"The Roses, Barbara and Oliver, live happily as a married couple. Then she starts to wonder what life would be like without Oliver, and likes what she sees. Both want to stay in the house, and so they begin a campaign to force each other to leave. In the middle of the fighting is D'Amato, the divorce lawyer. He gets to see how far both will go to get rid of the other, and boy do they go far.",08/12/1989,116.0,Once in a lifetime comes a motion picture that makes you feel like falling in love all over again. This is not that movie.,160188546
Once Upon a Time in America,30000000,tt0087843,en,Once Upon a Time in America,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",16/02/1984,229.0,"Crime, passion and lust for power - Sergio Leone's explosive saga of gangland America.",5300000
The Straight Story,10000000,tt0166896,en,The Straight Story,"""The Straight Story"" chronicles a trip made by 73-year-old Alvin Straight from Laurens, Iowa, to Mt. Zion, Wisconsin, in 1994 while riding a lawn mower. The man undertook his strange journey to mend his relationship with his ill, estranged, 75-year-old brother Lyle.",15/10/1999,112.0,,6203044
La Haine,3000000,tt0113247,fr,La Haine,"Aimlessly whiling away their days in the concrete environs of their dead-end suburbia, Vinz, Hubert, and Said -- a Jew, African, and an Arab -- give human faces to France's immigrant populations, their bristling resentment at their social marginalization slowly simmering until it reaches a climactic boiling point. La Haine means Hate.",31/05/1995,98.0,Three Young Friends... One Last Chance.,15300000
Klute,2500000,tt0067309,en,Klute,"This acclaimed thriller stars Jane Fonda as Bree Daniel, a New York City call girl who becomes enmeshed in an investigation into the disappearance of a business executive. Detective John Klute is hired to follow Daniel, and eventually begins a romance with her, but it appears that he hasn't been the only person on her trail. When it becomes clear that Daniel is being targeted, it's up to her and Klute to figure out who is after her before it's too late.",21/06/1971,114.0,You'd never take her for a call girl. You'd never take him for a cop.,12512637
Gentlemen Prefer Blondes,0,tt0045810,en,Gentlemen Prefer Blondes,"Lorelei Lee is a beautiful showgirl engaged to be married to the wealthy Gus Esmond, much to the disapproval of Gus' rich father, Esmond Sr., who thinks that Lorelei is just after his money. When Lorelei goes on a cruise accompanied only by her best friend, Dorothy Shaw, Esmond Sr. hires Ernie Malone, a private detective, to follow her and report any questionable behavior that would disqualify her from the marriage.",14/07/1953,91.0,The Two M-M-Marvels Of Our Age In The Wonder Musical Of The World!,12000000
Wintersleepers,0,tt0120522,de,WinterschlÃ¤fer,"Young blonde translator Rebecca lives with her boyfriend ski instructor Marco in a mountain villa owned by her friend, nurse Laura. Rene, local cinema projectionist, steals Marco's car and gets into a car crash with local Theo, whose daughter, after being in coma for a time, dies. Rene suffers from partial short term memory loss and starts a relationship with Laura. Meanwhile Marco is looking for the man who stole his car and Theo - for the man who killed his daughter...",30/10/1997,120.0,,323041
Copying Beethoven,11000000,tt0424908,en,Copying Beethoven,"A fictionalised exploration of Beethoven's life in his final days working on his Ninth Symphony. It is 1824. Beethoven is racing to finish his new symphony. However, it has been years since his last success and he is plagued by deafness, loneliness and personal trauma. A copyist is urgently needed to help the composer. A fictional character is introduced in the form of a young conservatory student and aspiring composer named Anna Holtz. The mercurial Beethoven is skeptical that a woman might become involved in his masterpiece but slowly comes to trust in Anna's assistance and in the end becomes quite fond of her. By the time the piece is performed, her presence in his life is an absolute necessity. Her deep understanding of his work is such that she even corrects mistakes he has made, while her passionate personality opens a door into his private world.",10/09/2006,104.0,,6191746
The Bridge,0,tt0799954,en,The Bridge,"The Bridge is the controversial documentary that shows people jumping to their death from the Golden Gate Bridge in San Francisco. Director Eric Steel staked out for a year under the infamous bridge filming 23 suicides. The footage was then compiled along with interviews from family, friends, witnesses, and survivors to create this disturbing yet very intriguing documentary.",27/10/2006,93.0,,179780
